X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40
-2.1521	-1.8755	1.5746	-0.7278	-0.8456	0.2148	0.8950	-0.3510	-1.9696	-1.6582	-1.7180	-2.1423	-1.6934	2.0821	1.4061	1.2826	1.8873	-3.2189	0.0541	1.6869	0.8515	2.3438	-0.3312	-2.8730	0.2074	2.6455	-1.3992	-0.8587	2.3164	-0.9302	0.3123	-0.2607	1.9372	-0.5945	1.1314	0.7136	-3.2347	2.5050	0.7992	-2.3886
-0.3025	-0.6340	-0.5084	1.2056	-2.0615	-1.0854	-0.4627	-0.0508	0.0449	-1.4007	1.2932	0.1976	-0.3256	-0.6241	1.5085	0.9099	-0.2690	-2.8244	0.8280	0.7808	0.2627	-0.7016	1.5170	0.6848	-1.8747	1.6898	-1.3913	0.3716	-0.9045	1.5597	1.0401	2.9726	2.7535	0.1444	-1.3093	0.8322	-1.8791	1.1103	0.5792	-1.6580
-1.5324	1.7716	2.1144	-1.2864	-2.1624	0.1386	2.2515	-0.7326	0.8151	0.3625	0.5973	-1.8357	-1.7376	1.3898	1.4341	0.5495	3.4479	-1.4509	-0.9805	0.7111	-0.6263	-0.1759	2.7599	-2.1623	-1.2573	0.6396	0.9766	1.5936	-0.4091	0.9034	-4.2431	-0.1617	0.3255	0.1509	0.4932	0.7364	1.9603	0.9979	-1.1214	1.6741
0.6145	-0.1173	-0.5258	2.2959	-1.4746	0.9730	-0.9986	-1.0884	-0.5856	-1.1221	-1.7460	0.0996	-0.9536	-1.9121	0.5312	1.2078	2.0834	1.5525	0.3321	-0.2170	-0.4523	0.3852	0.1926	0.2102	-0.3620	-0.3196	-1.5627	1.5672	-1.2776	-0.3516	0.0173	-0.5342	-1.1699	1.1097	1.4597	-0.2758	1.3049	0.1945	-2.6125	0.3912
0.0010	-0.4216	-0.7716	-0.2958	-0.2195	-1.1369	0.1067	-0.2961	2.2282	-0.0764	-0.8945	0.5492	2.0165	-2.3997	-0.0511	-1.2429	0.1542	-1.3846	-0.1522	1.6748	2.3291	-1.4883	-1.4058	0.1301	0.2137	-4.4821	-0.8128	1.0382	0.0913	0.8696	0.2361	-1.2215	0.1737	-0.3540	0.0050	-2.2367	0.0011	-2.0237	-1.2211	-1.3556
-1.8406	1.5673	2.1577	0.5103	1.3995	0.4031	0.6177	-0.0689	-1.6754	1.6072	-2.1168	0.2856	-0.6023	0.5427	1.0152	-0.7449	1.9116	1.4037	-0.8784	-1.1381	1.0933	1.8999	1.0196	-1.0420	-0.7350	0.1684	-1.3402	0.2171	-2.1771	0.6919	-0.4709	-2.9573	0.0003	0.2612	0.2200	1.2736	1.2380	1.0420	0.3613	0.9101
-0.7024	-0.4198	-0.5723	1.4909	-1.4395	-0.3288	4.8482	-1.0716	-1.8238	-0.9285	3.3461	1.5597	-1.6202	0.7258	-2.9267	-0.1075	1.1489	0.9872	1.8840	0.6196	1.1780	0.2290	1.3080	0.2251	0.2280	2.6848	-0.9708	-1.6463	0.4865	0.2775	1.3814	-0.0626	-0.2931	-1.6539	0.9838	-1.9796	-2.4057	1.4297	-0.1553	1.0079
-2.5782	-1.6285	0.1956	-0.1827	-0.6935	0.1464	-0.0788	0.7820	1.0944	0.5072	0.7836	0.5556	-0.0976	-0.4391	0.1530	0.6263	0.2389	0.3754	0.1625	-0.8958	-2.3097	0.5690	3.4336	-0.3948	-2.5541	0.6845	0.5216	0.1426	0.8695	-0.0746	2.2978	-1.9897	0.6586	-0.1538	0.0685	0.6087	-1.5978	0.1048	-0.6379	0.5905
0.2056	0.3824	1.3037	-1.1778	-0.1899	2.1719	-1.9859	-1.0970	-0.8300	1.5117	-3.5284	-0.4942	-0.6166	2.2489	0.9582	1.1754	1.7838	0.5883	-1.1381	-0.8217	0.5582	0.0687	-0.8424	-1.3173	-1.6232	-1.3387	0.2175	-0.2156	2.2544	0.0238	0.8276	1.0427	1.0185	-1.1917	-0.9678	0.0019	-0.2517	1.7471	1.0028	1.5312
-0.0200	-1.9099	-0.2121	0.5355	-0.1866	-0.9802	0.8319	-1.0601	1.8831	2.0932	-0.3535	0.0135	0.5217	-1.8578	1.7029	-0.0034	-0.9354	-0.2897	0.0908	0.0326	-1.1597	-0.7635	1.1731	0.0748	0.0972	1.6979	-0.5806	-1.6748	-2.5765	-2.1877	-1.0218	-0.0260	0.6168	-4.3797	2.4250	0.7575	-1.2420	0.2201	1.1120	-0.9005
