X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50
-0.3980	-2.0034	-0.3755	-3.0331	-1.9916	0.5682	0.8862	-3.6725	-6.9623	-4.8897	-6.9381	-3.1086	3.6948	-1.9205	3.0310	1.4809	-0.5062	7.6216	-7.4686	-2.9747	-5.5706	-3.8998	5.7746	-7.0453	-16.5377	-0.2341	-6.6656	3.7344	-12.4756	8.5969	-6.1349	-6.0337	-5.1206	-1.7479	-1.9398	-1.5281	-12.5366	6.7783	-3.8755	-4.4250	6.4991	-10.7925	-7.4593	-2.0160	5.4391	18.4311	14.2450	25.9857	-17.1511	-32.2354
0.2337	-0.5385	-1.5057	-1.7750	-0.6175	1.5516	-0.3743	-0.2983	-1.2780	-1.5233	-0.5072	1.8819	-2.6307	1.4480	-0.9749	1.9343	0.3331	-0.9709	2.9314	2.1805	-4.2334	-1.8212	-2.4790	4.9044	3.3977	-0.8251	-3.7990	-4.4555	-3.4920	-2.2567	-0.8981	-0.3473	3.4711	7.1159	4.9064	4.2449	1.3352	-3.9469	-7.5553	1.2101	-4.8430	-5.6460	-1.7880	2.6218	6.3272	3.1545	-4.1902	-8.4725	-3.9596	17.4235
-2.1671	-2.4307	-0.3823	0.9030	-1.5395	-3.6179	2.2624	1.4792	1.3544	-0.7080	2.2153	2.8379	-1.7612	0.7839	-5.2449	0.9201	-3.0603	-8.8915	8.2999	-1.2191	1.8041	-0.6194	-5.0397	2.2907	0.9445	-3.3704	2.9831	-0.8892	6.3718	-9.6507	-8.4965	9.7754	5.2315	-14.6723	-14.3210	-6.3016	-3.1650	11.4861	13.4195	-19.3221	9.5193	-1.1716	-1.3292	-13.7029	-14.5014	-4.9708	5.1381	-7.5011	0.1280	-17.9351
-2.2646	0.4889	2.2301	2.3875	3.0748	-3.9377	-1.6303	2.1836	5.5728	2.5165	2.7946	-2.6469	0.0187	-1.0268	-4.0128	-5.1432	0.7330	-2.8003	-9.1193	-5.2523	10.8942	6.1071	-1.7227	-4.2518	5.0247	0.3560	9.3509	8.8282	12.8408	10.5678	-2.8071	5.9809	4.5387	26.2892	18.2889	1.4430	10.1149	4.5787	2.6283	-25.4519	22.4264	21.1076	6.2620	-25.4664	9.4145	11.5474	-9.8694	-25.5407	-33.1136	20.0822
1.5292	0.9524	-2.2483	-0.8872	-0.8001	3.7318	-0.9531	-0.4937	-2.3364	-0.1911	-0.6761	2.5920	-1.8652	2.8442	3.4533	2.5127	0.4216	4.6936	6.9163	7.0635	-11.1551	-13.8818	-0.1065	11.4931	8.0672	-0.7741	-8.5191	-10.1851	-15.1936	-11.2720	19.1270	-10.9318	-1.9035	-10.2918	-1.1021	-4.6648	7.4167	-21.4378	-21.5339	51.9642	-41.3523	-23.6392	3.3551	43.9112	-7.8247	-13.9062	-4.1787	31.8915	82.3483	17.3255
-0.5285	0.2111	1.2831	0.6213	1.9489	-0.8932	-0.6220	0.0008	1.1832	-0.0411	-1.4431	-3.2518	2.5183	-1.3007	-0.2195	-2.8578	1.0040	2.2017	-9.6379	-5.1919	7.9728	11.9939	2.4935	-11.6987	-6.3884	2.5507	3.3175	6.9431	8.5810	13.6005	-5.5979	5.2893	-3.7154	8.9694	4.5733	6.5796	-8.3516	8.8089	15.9989	-26.9990	25.1920	17.7185	-0.9464	-20.6558	10.8569	7.9510	-0.0758	-12.0242	-58.2767	-18.6288
0.3305	-2.5337	-2.2522	-3.6111	-2.2601	2.2602	1.5033	-2.6510	-8.1854	-6.6145	-6.9971	0.6539	1.6947	1.1843	4.6032	4.9876	-1.0291	10.3484	-0.2102	-0.3860	-10.2689	-8.8613	3.2216	-4.6139	-9.9665	-0.3520	-9.5020	-5.3464	-19.9438	2.4513	2.9198	-7.4107	-7.5334	-15.1731	-7.1923	-2.7873	-15.1464	-2.8331	-16.4530	22.1717	-24.5401	-17.8499	-4.5446	22.2344	2.4987	-2.9546	10.3797	30.0973	15.8915	-24.5545
2.0964	3.1904	0.9288	-0.9757	3.0177	4.4803	-4.2590	-3.1244	-2.3710	1.2343	-5.1137	-6.6936	4.4998	-2.3993	6.7580	-3.0655	4.3998	14.8893	-25.4153	-5.1793	8.0988	17.1035	8.2749	-18.3195	-3.7897	8.9731	0.4706	9.3624	-2.0160	36.7000	0.8212	-7.6879	-15.0560	32.6974	23.8563	23.1918	-12.5518	-12.0044	0.0157	-7.8513	12.5095	27.5584	2.1476	-13.2338	50.5905	2.5114	-18.0859	-23.6002	-91.4272	11.7467
-1.3822	-0.2848	1.6063	1.1068	1.3533	-2.9490	0.5915	0.7541	1.6561	-0.4361	-0.5644	-2.9094	2.6108	-1.6212	-1.4474	-3.1421	-0.5914	-1.8797	-5.3272	-5.7520	8.5684	7.9023	0.8770	-10.1377	-3.6952	0.8416	5.3569	8.0000	8.4801	9.1717	-7.9729	10.2125	-2.5171	-4.1594	-5.4852	1.4027	-11.9647	14.5955	16.2321	-29.1318	15.2249	16.1143	1.4193	-20.8780	6.2731	-5.5798	1.1454	-18.3681	-52.8861	-16.4137
-0.3265	-1.0877	-0.1274	-0.6740	0.0295	-0.1130	0.7819	0.3054	-1.1096	-1.9019	-0.9207	1.0718	-0.5750	0.8995	0.1890	1.4077	0.0023	2.1231	2.2629	0.3285	-4.0142	-6.2217	-1.0700	1.9689	1.5620	-1.8197	-1.3805	-4.1340	-5.9376	-2.7454	4.6640	-0.9028	-0.8608	-6.1862	-1.8167	-3.0962	-0.6673	-2.6209	-10.7004	10.8016	-15.0545	-7.7078	2.3474	11.3941	-2.4724	-5.6317	-0.1111	11.3734	24.8853	1.4061
