X1	X2	X3
1.7869	0.7324	-1.3530
0.2002	-0.2018	0.9317
1.7231	-2.9502	-1.7968
-1.4848	-2.7838	6.9764
0.4706	-1.9414	1.7225
1.1321	1.0168	-4.0000
1.0335	1.7365	-0.3499
1.3195	-0.2100	-1.0427
0.8520	-1.9769	-1.0067
0.0231	0.7298	-1.7389
0.7401	-0.8008	3.3581
-2.0537	1.6676	4.0060
-0.9154	-1.2341	2.2162
-1.6451	-0.4509	2.0177
0.3636	0.0461	-1.6078
0.2437	-2.5463	0.7920
-0.1690	-3.1754	3.0947
1.5954	0.0517	-4.0841
0.0703	2.4978	-1.1081
0.2150	1.8194	-2.1761
1.1456	-1.0914	-1.4977
-0.2050	-0.4743	0.1768
-0.3693	-1.8408	2.7590
-1.6631	-1.6655	3.3695
0.5112	0.0581	-2.9762
-1.0575	2.7114	0.1417
-0.3196	4.1104	-3.1743
1.5595	0.2065	-3.5248
0.5565	1.5530	-1.5917
-0.1730	1.6696	1.8385
-0.9016	-4.3590	0.8092
-0.0597	1.9776	-3.0717
-2.3203	0.7434	1.3621
-2.0180	-0.6351	0.3855
0.3707	-0.0434	-1.2272
0.1867	1.4426	0.7999
1.9659	-1.1257	-0.8178
0.6937	0.2871	-0.4287
0.1094	-1.9184	-1.7470
-0.6720	0.8403	-0.4589
-2.0260	0.9793	0.2502
0.0112	0.8090	0.3828
-0.5451	-0.9364	0.2744
-0.2377	-1.1349	-0.0804
0.1039	0.7324	-1.1734
2.1091	-0.3180	-2.7315
0.9179	0.6004	-3.7155
-1.2495	0.4416	-1.4304
1.2848	-1.9496	-0.4651
0.8130	-1.0275	1.2244
0.5241	1.0444	-5.1213
0.7677	-2.0094	1.2068
-0.6001	1.4905	0.8852
0.0494	-0.8477	-0.9638
-0.5612	4.1986	0.9903
0.4128	-0.9873	0.2324
-0.4003	-1.9122	1.9089
0.1913	1.7060	-0.6234
-0.8396	0.3556	2.8150
-0.8113	-0.7999	3.7927
0.2494	-1.7425	1.7554
-0.7097	-1.4981	2.6692
1.7416	0.3273	-0.3035
0.0171	-0.0577	0.5227
-0.3970	1.0340	1.6731
0.7704	0.3947	-0.9166
0.0089	-1.8546	-0.6948
-0.6254	-2.1146	3.0955
0.0562	1.2452	1.2660
-0.6090	-4.0589	2.0583
-0.2539	-1.1119	0.8132
-0.8492	-0.2565	1.1412
-2.4110	-2.0078	5.0902
1.2268	3.0729	-4.1854
0.4469	-1.5657	0.2821
0.8737	1.4921	-2.9592
-0.5416	2.2367	0.7982
0.3844	0.6844	0.2547
-0.4471	1.0137	-0.0131
1.2902	-0.8576	-1.2759
-0.8763	0.3283	0.3094
0.6502	1.7117	-1.8099
-1.1329	2.3970	-1.0835
-1.4376	0.0565	3.2165
-0.0448	-1.8356	0.5852
0.8885	1.7652	-1.2521
1.2195	0.5618	-3.8167
-1.1410	-2.0937	2.5047
-0.7690	0.3086	-0.1310
0.9377	0.7832	-5.6508
0.3557	2.0159	-1.6169
1.3387	-2.8972	3.8145
-0.2658	-1.3369	-0.5513
1.4862	0.4709	-3.2630
-0.1584	0.8209	-0.8450
1.8754	-1.3959	-1.5557
-1.1411	-1.6410	2.6862
0.4618	-2.9149	0.4402
-0.1771	2.0952	-1.1855
-0.6951	2.3902	-2.8638
0.4207	-0.5683	0.8444
-1.0481	-1.5666	3.1244
-0.6390	0.9374	-2.6336
-0.1162	-1.8180	1.0340
0.4252	1.7579	-5.3201
-0.0659	1.4474	-1.5221
1.5783	-0.6044	-1.8706
0.4085	-2.2673	1.5970
-1.0080	-1.6561	4.6537
-1.5243	0.4395	3.3762
-1.0513	0.9479	1.1395
1.2884	0.4872	-5.0845
-1.7691	-2.7462	7.0158
-0.1646	0.1660	-1.8695
-0.5608	1.5979	-0.9791
0.0833	1.3112	2.3391
0.9282	2.9746	-2.7005
-0.8619	-1.8532	2.0282
0.2194	-0.6242	1.9738
-0.7177	-0.2136	4.1886
0.9801	-0.2637	-2.7088
0.5917	-3.7915	-0.2654
-0.8467	1.9818	0.0430
-0.1049	-0.3922	1.1507
-0.3125	1.0905	-0.4396
0.4858	-2.4832	1.6491
1.3427	2.9294	-3.6810
-0.4561	2.4764	-0.4867
0.1062	0.6147	0.2877
0.3248	-1.2016	-3.0802
-1.3053	-0.4456	2.6331
-0.2907	-2.6172	4.0340
1.5716	0.8792	-4.3413
0.9572	1.7511	-3.3209
-0.7328	0.1276	-1.2009
0.1071	0.6390	-0.6346
0.8121	1.4646	0.8150
-1.2583	-2.2225	4.2728
-1.0548	-0.4006	0.0034
0.5080	-1.7327	-0.6728
-0.9592	2.9405	0.2514
-1.0381	1.6122	0.1085
0.3157	-2.5547	2.5072
1.2096	-2.4331	1.3065
0.0464	1.8003	-4.7052
-0.3487	-0.9287	-0.0025
0.1806	0.2905	-0.7372
0.1073	0.1160	-0.4185
-1.8923	0.8333	3.8903
-0.1192	1.6664	-0.7852
-1.5308	1.4819	5.2034
0.5341	-2.3791	-0.6181
0.7881	0.0017	-1.9870
-0.6032	1.3141	-1.8618
-2.0672	1.3850	0.8187
0.1798	-0.2190	-3.2475
-1.3655	0.0234	5.6586
1.0018	-0.2115	0.9231
1.7195	-1.4766	-1.5319
1.2638	-3.1002	1.2036
0.9321	1.1860	-2.6442
1.2227	-2.3994	0.5310
-0.2515	-5.3342	1.9025
1.0665	-0.7613	-0.1345
-0.0583	-1.5093	0.4274
0.8051	-0.4880	0.7087
0.0231	-1.4349	2.4960
-0.9150	-1.9873	1.7107
-0.4536	0.8591	-0.2222
0.1395	0.4868	1.1484
-1.2535	-1.0900	0.5993
0.0594	-0.6554	-0.2438
-1.5875	2.7220	-0.1970
0.2899	-0.1024	-1.8767
-0.4134	1.4748	0.2624
-0.7932	-0.8163	5.0096
-0.4748	1.2958	-0.2950
0.8918	1.1687	-2.7910
1.1756	0.6599	-0.4933
-1.5564	-0.4579	-0.9636
-0.0554	1.5534	2.1558
0.5922	2.4285	-0.4728
1.5552	-0.6070	-2.5137
0.4447	-3.4539	-1.9230
0.2578	2.9765	-0.6720
-1.1542	1.1036	2.9265
1.6134	-0.2445	-1.5788
-0.4735	-1.8173	4.8565
-0.6493	-0.8774	1.6265
1.1198	-2.2061	1.3041
0.4390	-0.6128	0.4360
0.6428	0.1244	-1.8335
-0.2877	-0.6256	-0.5758
-0.0332	-0.7172	1.9901
1.4647	-0.1540	-1.7222
-1.5485	0.1268	1.2300
0.1722	-0.8336	-0.4094
0.3725	1.0658	-0.5911
-0.5635	1.6244	-0.0049
0.8429	-2.3537	1.3145
-0.6351	4.8859	-2.9705
-0.1606	-0.4731	-1.8537
-1.1716	0.8000	2.3647
1.0954	-2.0969	0.6080
-0.7566	2.7822	0.2100
1.6547	-1.5476	-4.1702
0.2338	-1.3415	3.4062
0.2400	0.5223	0.8405
0.4120	2.4207	-0.3113
-0.9919	-0.0903	2.2016
0.6102	1.6538	-1.2869
-0.4561	0.5274	-1.0341
-2.6669	-1.7821	5.1306
-1.8143	-1.0073	2.6571
0.9375	0.1752	-0.9418
-0.6463	1.6371	-0.3831
1.0973	1.7363	-2.0831
-1.9110	-0.0486	4.2968
1.1857	-0.9300	-4.1763
1.4180	1.7297	-1.4599
-1.1575	1.6216	-0.8415
1.4692	-0.2405	-3.8994
1.6632	0.8512	-4.2538
-0.4709	0.4166	0.1549
0.4590	1.2725	-1.9841
1.7829	-0.3209	-0.0152
-3.1483	-2.7843	4.7948
0.3914	-2.7283	-0.6944
-1.6485	-0.5400	4.9442
1.1054	1.0559	-1.5166
0.7875	-1.6138	0.8181
1.2075	0.5971	-3.3946
0.0481	-1.0770	3.2600
-0.3120	-2.5160	0.1285
1.1049	1.2375	-4.1662
-2.3846	-2.2740	5.3708
1.2088	1.8491	-1.8488
-0.4573	0.8092	-0.6449
-1.8452	0.8789	1.4066
-0.0849	-1.0167	-0.4697
-0.7194	-0.3555	-1.6535
-0.7408	-0.2844	1.4166
-0.8514	2.2618	1.3513
-1.2948	0.7566	1.6170
0.2009	0.7139	-1.1601
-1.1279	0.9647	2.9146
-0.0719	0.5783	1.6962
0.5571	2.9849	-4.8461
0.1562	-2.0022	-2.1049
-0.0146	0.1885	-0.7663
0.3506	1.9329	-3.3834
0.4855	-1.1695	2.2794
1.0628	0.8436	-1.1688
-0.5770	-0.9973	3.1523
0.8991	1.1788	-1.6000
-0.7910	-1.2222	2.1015
-0.2998	0.4506	-3.3165
-1.6281	1.6956	-0.7569
0.6715	0.6107	-2.8276
-2.2684	-0.9542	3.3964
-1.1286	0.9167	-0.5281
-1.7539	-1.9550	6.4621
-0.8511	-2.0431	4.4231
-0.8910	-2.2755	1.0011
-0.3430	-0.8275	2.2324
1.2703	-1.4539	-1.0729
0.6159	-0.0833	1.8975
1.0449	2.4196	-2.9273
1.0669	0.3589	-3.8964
0.5818	0.3147	0.1133
-1.6035	-1.2709	3.4055
0.4309	2.8284	-0.8090
2.6141	0.3865	-9.2050
-0.6463	1.9626	-0.7736
-1.4384	-1.9595	-0.6811
1.5436	-1.1574	-3.0688
1.8669	1.4194	-3.1750
1.1345	-0.6882	0.2532
0.0854	-2.6606	1.1112
-0.1720	-2.3260	0.2972
-0.3926	0.7879	0.3247
0.8083	-3.2362	1.5536
-0.1682	2.4801	2.8603
0.4801	-0.0235	-1.2122
-1.5012	0.7613	1.5672
0.3312	-0.6185	1.7271
-0.0401	-1.1222	1.4906
1.6597	-0.6408	-1.1032
-0.4155	1.0243	0.3208
0.2066	-2.6770	3.3956
-0.5702	-1.8649	6.2854
-1.4871	-0.5066	1.3696
0.0925	0.6615	3.2616
-0.0374	5.1540	-2.0315
0.0198	-3.1432	2.6538
0.1480	-4.4698	3.5394
-0.4085	-0.7235	1.2393
1.0391	-2.0578	-0.3743
0.3165	3.1746	-2.6325
0.3703	-1.9943	0.6294
-1.3916	-0.7983	3.8962
0.4689	1.3203	-5.0496
0.8284	-0.6041	-1.1944
0.2891	1.8654	-1.4758
-0.1384	2.9615	-0.4725
0.4141	0.5954	-3.0110
0.1640	-1.5880	0.4547
0.6119	-0.3221	0.3216
-0.5101	-1.5410	2.5111
-0.8468	-0.7400	1.5122
-0.4789	0.4370	-2.4775
-0.3572	0.5304	-3.2562
0.2958	2.4149	-4.1287
-0.3468	-0.7577	0.9154
1.0863	-1.1519	-3.8317
0.6774	1.8903	-2.4271
0.8669	1.4571	-0.3616
0.6380	-1.3982	0.4040
1.6229	3.7827	-3.7928
0.6180	-1.0817	0.6754
0.5975	0.0743	-1.1124
0.9848	-1.9926	-0.2306
-0.4918	1.6793	-5.2187
0.6661	-1.2915	1.1944
0.9091	-0.8969	1.7042
1.2932	-1.9601	-1.1354
-0.6403	1.1810	0.4146
-0.3454	-3.3770	-0.8429
0.4655	-0.0792	-0.7019
0.6916	-0.2152	0.6124
0.1932	-3.3264	-1.7663
0.1276	2.8836	0.2860
1.0330	-0.0114	0.1287
2.1294	1.1047	-3.3294
-0.4547	-0.7981	2.8040
-2.3857	1.1539	2.5673
1.0912	1.8221	-1.4017
0.2812	0.2672	-2.6632
1.0693	-2.0563	0.6294
-0.8581	1.9287	0.2015
1.9535	-0.2910	-0.7864
-0.8387	-1.5061	3.9909
0.2096	-0.9250	1.2090
-0.0067	-0.6426	-2.1973
-0.1780	0.0720	1.4560
1.2410	-0.7656	-0.5719
-0.2986	-0.7402	1.2599
0.1591	-0.0210	-0.8006
-0.4653	-0.2880	3.1089
-1.3267	-1.0366	4.3198
-0.4697	3.0419	-1.6195
0.4295	2.3728	-3.0471
-2.1790	-0.1630	4.3953
0.7159	2.5533	-1.0698
-0.1122	-0.7493	1.4854
0.4300	-0.8002	-0.3326
1.5860	-0.8260	1.0649
0.0778	-2.3349	-1.0456
-0.0402	0.2427	2.5070
-1.2811	-2.2916	5.7929
1.1994	2.6350	-4.4608
0.6597	-0.0881	-0.1552
-0.2025	1.8555	-1.3619
-1.3432	0.0759	-0.6736
0.2502	1.1461	-2.9861
-2.1706	-3.7867	6.5889
2.4333	-1.9673	-3.3208
0.6870	-2.2446	-1.4866
0.5404	-0.4650	-4.0648
-1.6682	1.6766	2.4133
0.4277	1.6586	-1.3622
1.0438	-0.0137	-0.6785
-1.1358	0.3702	3.5342
