X1	X2	X3	X4
1.5965	1.9318	2.5312	-1.2467
-1.3531	-0.5387	0.1475	0.6374
-0.5340	-0.8231	-3.7765	3.0736
2.4368	1.2936	5.2412	-4.1739
-0.8764	0.7344	-1.5186	1.2476
0.3237	-1.5909	0.0642	-0.6110
0.2949	-0.5802	-2.3094	-0.2392
1.7697	2.1634	3.9258	-2.4348
-0.5696	-1.0278	-1.1527	0.4672
0.9275	0.5249	-1.1239	0.7679
-0.8952	1.1390	0.8481	-0.1131
0.7228	0.5391	0.6140	-0.9568
0.0735	1.2717	2.7906	1.0508
0.0428	-0.0531	0.5613	0.1455
-0.2650	2.1437	0.7292	2.4311
0.3413	3.5364	6.5219	-1.0714
-0.0451	0.9155	1.1662	0.6414
2.1287	0.3861	4.3819	-3.5174
-0.2184	-0.3347	1.0732	0.3662
-0.5516	-0.8215	-2.8653	1.5408
1.1114	1.7653	2.0604	-1.1025
0.2265	2.4068	1.1713	0.4604
-0.5600	1.2310	-2.8475	1.8394
2.2142	1.6064	2.1540	-1.8031
-2.3545	-0.8524	-8.2322	5.8492
0.1297	3.0884	3.6555	0.0562
-0.3402	-3.0063	-3.0854	0.9878
-0.1748	-1.0868	-1.1637	-0.3065
-1.4122	-0.8649	-3.7611	2.1337
0.9250	-2.3968	-0.1124	-0.6518
0.0777	3.8340	3.5762	1.6566
-1.7685	-2.9101	-1.5600	0.6984
-0.7113	0.1219	0.4617	1.5919
0.5559	-1.3157	-0.7124	-1.4606
1.1001	1.6385	-0.7686	0.4420
0.5896	-0.5081	-6.9304	4.6862
-1.7042	-2.6797	-5.1367	4.5914
0.1769	-2.3334	-3.2821	1.4787
-0.9326	2.5191	-1.6281	2.6428
-1.2326	0.2081	-0.9657	1.5178
0.6364	0.7749	4.5000	-2.8184
0.5612	0.1498	-0.9741	1.3457
-3.6431	-3.2175	-8.3553	4.3526
1.0545	0.7920	4.3681	-3.4370
0.9744	-1.2740	0.0581	-2.2750
-1.1584	-2.2683	-6.2752	3.8435
-3.0674	-2.6288	-5.3517	2.9576
1.2113	-1.5047	1.3365	-2.7420
0.2681	2.1495	1.5107	0.2705
4.1812	0.4805	4.6095	-4.5622
0.9998	0.5670	-0.5645	-0.4979
-1.3545	-2.5626	-3.5330	2.1327
0.2439	0.6946	1.3701	-0.2719
1.3118	0.3833	2.1154	-0.7638
3.0869	2.2621	4.8855	-2.3406
-0.0273	2.0007	0.4828	1.0286
1.1730	-2.8354	0.1932	-2.3709
1.3239	1.5990	3.3123	-0.4536
-1.0170	-1.3470	-3.5312	2.5909
-2.9918	-3.0735	-7.0128	4.0086
-1.3887	-2.4117	-5.1756	3.5913
0.4192	-2.0999	-0.4112	-0.7891
0.2460	-1.5175	-5.5636	1.5229
2.7019	2.1743	5.9948	-4.1803
-0.2331	0.4311	-2.5122	2.8431
-0.4677	0.0469	-0.4889	1.5065
-0.7374	-3.5846	-8.4420	3.7764
-2.0097	1.3734	-3.1374	3.8223
0.7962	0.7504	3.7888	-2.4450
-2.0042	-0.5160	-6.5956	3.0701
0.8916	2.1919	5.5578	-3.0507
-2.3795	-1.2839	-7.4983	4.5376
-0.4182	-1.1249	-3.7585	2.2879
0.8452	-1.0311	0.9977	-2.0574
-2.8068	-0.6680	-5.3106	4.8914
-2.1059	-1.7819	-5.9781	3.7521
0.4640	-1.9262	-0.3873	-0.1669
-1.0490	-0.2643	-5.1514	4.3676
0.9554	3.2631	2.9993	-0.1329
-0.2925	0.5599	3.1589	-0.8583
0.7931	-0.3071	0.1532	-0.4947
1.7271	2.3469	2.0356	-1.4678
-1.3603	-2.0890	-1.5122	0.3788
-2.6751	-3.4254	-12.3697	6.4595
-2.1494	-2.4216	-5.3520	2.6522
-0.7580	0.1091	0.9239	0.5292
0.6881	-0.2192	-1.0209	1.0951
-1.7812	-2.6430	-3.9198	2.8821
0.6492	-1.3901	-3.7831	0.4675
2.6507	-0.0457	3.1187	-2.7490
0.1856	-1.6834	-5.8963	2.2757
-0.0299	-0.7222	2.2546	-3.4088
