X2	X3	X4	X1	X5	X6
0.1592	-1.1536	-0.8881	-3.1704	-0.5147	0.9975
1.3106	-1.5246	-0.3050	-3.8048	-1.2761	2.3658
-1.2715	-4.7209	-1.4739	-6.8042	-3.8042	4.2832
0.7635	-0.0018	-1.2064	1.4657	1.2992	0.7292
0.4397	0.8496	-0.0961	-0.7588	1.2371	4.8684
1.2517	0.5365	-0.6868	0.5826	2.8280	2.6200
-2.7358	-2.8002	-1.4897	-1.7814	-2.7855	-2.6296
-0.9445	-6.5258	-2.0103	-7.2961	-4.6487	6.9226
0.2996	1.6618	0.3502	3.5235	3.9370	0.0069
-3.6761	-5.1902	-0.7741	-4.4454	-3.1304	-1.2246
-0.2922	-0.5653	0.2285	-2.4215	0.1514	4.8004
0.1711	1.0313	-0.1021	3.2952	-0.4650	-6.7306
1.4401	2.7160	0.8959	4.1390	1.3503	-4.9570
2.2533	0.8959	-1.0606	-0.0623	1.1810	3.1901
2.5681	5.0623	1.1714	5.3837	1.9428	-5.4009
-0.0365	-0.8415	-0.3934	1.5593	1.4637	-1.4081
-0.7879	-2.0421	-0.0890	-0.7492	-1.4935	1.8824
2.8324	0.9637	-0.5866	-1.2242	4.7064	11.2366
-0.5634	1.8901	0.6822	2.2144	0.5293	-1.1649
-1.3256	-2.9362	-1.4394	-7.1177	-1.3048	7.0533
0.2345	0.1327	-0.3279	1.3546	0.9368	1.6771
-2.4151	1.4999	2.7113	0.6959	0.5640	2.2541
-1.8909	-2.2216	-0.0924	-2.0265	-0.2934	1.8912
-0.3662	0.3345	-0.5967	0.4196	-1.5851	-0.7456
-1.7795	-0.3207	2.5372	-1.7178	1.1829	3.3528
1.0547	1.5153	-0.3616	4.2788	-0.0579	-9.3748
0.8245	1.0825	-0.0464	0.3484	3.1087	5.3450
5.6247	6.8193	0.3346	9.3229	4.5077	-6.6371
1.6315	2.6426	1.3461	2.1322	3.1739	1.9598
1.2461	2.8495	-0.4359	4.7257	3.5091	-0.7089
0.0992	-2.1098	-0.8578	-2.6376	-0.7107	4.7016
4.0630	5.1827	0.2280	6.2214	4.4450	-1.6687
-0.4124	-2.6346	-2.3184	-3.1886	1.8378	6.6010
-1.7450	-0.7779	0.8706	0.0925	2.4615	6.0075
1.6404	-0.2232	-2.0127	-1.7819	-3.3804	-3.5700
1.7746	2.1309	-0.3971	4.6570	1.1658	-3.0497
1.5848	-0.0177	-0.1656	1.9657	1.2822	0.6872
-1.0451	-0.7823	-0.5154	-6.0245	-1.8944	5.8268
-1.4824	-4.8069	-0.4988	-8.3405	-0.6389	7.0736
2.3010	1.8792	-0.6161	1.9386	2.0937	1.5363
-0.7091	2.3282	1.7931	1.8410	1.6308	-1.8896
0.8425	3.7228	1.5812	3.3366	5.1556	2.4869
0.5593	-1.6868	-1.1093	0.2091	-0.2000	2.6751
-1.3999	-2.1099	-0.3737	-3.8663	-0.8446	3.1637
3.1001	4.3931	-0.5309	4.3741	3.8059	1.3935
0.0861	0.4277	1.9018	1.0515	0.2004	-1.3253
0.0882	2.7622	1.2683	2.5305	-0.0135	-0.9280
-0.7934	-0.7526	-0.2483	-0.6745	-1.8237	-0.7125
-1.3930	-5.7456	-1.6512	-7.4662	-4.8066	0.5178
-2.0393	-1.3444	0.3447	-2.4633	-1.5030	-2.1954
1.7680	3.5596	1.4672	7.2834	5.4230	0.0219
2.0192	-0.3339	-0.9317	-1.9462	0.5624	3.9530
-2.0376	-3.8701	-1.7715	-5.5542	-0.6512	5.2314
0.1761	-0.8697	-1.2405	0.4934	-0.3753	-0.9934
0.4557	1.5334	1.4065	0.9756	1.1406	0.3248
-0.2667	0.7318	0.4952	1.7111	1.7254	0.8310
2.2264	1.0115	-0.2483	1.8973	1.2553	-0.6675
-1.1350	-3.1365	-0.0240	-2.9747	-3.2001	-1.3046
1.8780	1.6375	-0.0921	-1.8069	-0.9811	-1.4233
-0.5277	-0.2061	0.6559	-0.9141	0.9507	2.1953
-0.2931	0.0363	0.7634	0.2880	-0.3544	0.6963
-0.4592	1.5011	1.1741	1.6546	-3.1145	-9.8772
2.1229	-0.1185	-1.1815	-0.5114	-0.9167	-1.0324
0.6686	4.9531	1.0149	6.5670	4.5765	-2.5330
-0.8692	-2.6304	-0.9569	-2.8989	-1.3714	3.1701
0.1982	-0.3069	-0.1866	0.1125	0.4267	-0.4422
0.5258	1.2081	-1.5956	-1.6145	2.0544	5.8069
-3.2654	-3.0420	-0.4064	-0.1982	-6.0400	-9.9407
