X1	X2	X3	X4	X5
1.4474	0.1293	0.9908	0.4110	-0.9704
0.1752	3.0346	0.0183	0.4689	-0.0228
0.5917	-4.9931	3.2607	5.0106	3.8371
-1.0403	1.3189	-1.4445	-3.5647	-1.0327
-0.4640	-0.3428	-0.0045	0.7545	-0.2903
-2.9894	0.1857	0.0066	0.6396	0.8743
-0.1336	-4.6173	3.4053	5.4854	3.3966
3.0729	2.7671	0.5360	1.5790	0.7561
-1.7011	1.4032	-1.1285	-2.0285	-0.2523
1.4454	-0.4272	0.6495	0.5338	-0.8981
-2.5878	1.6857	-3.5901	-5.5074	-5.1839
1.8434	-0.0952	3.1171	4.5598	2.5408
-0.8103	0.3630	-1.6491	-1.5113	-0.0264
1.1218	-0.9316	1.2231	1.4777	2.6757
2.1509	-2.0883	2.9637	5.0815	2.4588
-0.8095	-0.1124	-1.8699	-3.2098	-2.8343
-0.9515	-1.3465	1.6649	0.4569	-1.3880
-1.4074	-0.0424	0.7152	1.4192	1.2029
-0.0620	2.0844	-2.7605	-4.1384	-2.1447
0.6832	0.2986	0.3140	-0.1717	0.1797
1.1159	-0.1787	3.5991	6.4665	3.9694
-1.5320	-1.5820	0.3563	0.8534	1.8174
0.7493	0.7914	0.5459	0.1145	-1.5113
1.2020	0.9452	-2.2267	-3.0473	-0.1382
1.8057	-0.6860	2.5258	2.3465	2.2253
-0.6297	0.4262	-1.0583	-0.9413	1.6148
-2.2928	1.3943	-2.1201	-0.9914	0.6683
0.0461	-1.2865	2.2272	2.5193	2.8098
-3.1908	0.0827	-3.2790	-4.0680	-3.7757
0.0762	1.5423	-1.7531	-3.7191	-4.0790
0.0009	-0.2147	0.0709	-1.4609	-1.1988
-0.5207	-2.7984	0.9437	1.7780	1.1900
-1.4597	0.3943	-1.5133	-2.8616	-5.0023
-0.5988	1.2055	-1.1728	-1.6037	-2.1971
0.5783	1.1334	-0.3744	-0.3942	-0.1729
1.4161	0.6336	-2.4037	-2.3805	-1.7908
-1.4847	-0.9112	-1.7575	-3.5051	-1.9370
-0.6722	0.1555	-1.1533	-2.4095	-2.2458
0.9256	1.5521	0.1985	0.6330	-0.3719
0.6780	-1.1888	2.8100	3.5452	4.6472
4.1013	0.0173	3.3565	2.6539	2.1900
1.6237	2.1894	-3.1792	-3.2353	-3.5368
0.7709	1.5031	0.7926	1.5120	3.4413
0.4115	0.0705	-0.9450	-0.8502	-4.0200
0.9628	-3.2960	1.2788	2.0603	-1.1349
-0.6563	1.0738	-3.1101	-4.8085	-4.7801
1.0278	-3.0518	2.1964	4.0031	5.8053
-1.5834	-3.0613	0.8475	2.3375	1.5288
1.2229	-2.3748	1.3103	0.7713	-1.1113
-1.1044	-1.1501	-1.1546	-2.0402	0.3978
-1.6534	-0.6790	-0.6882	-0.6669	-0.8033
1.3978	-0.1364	1.2859	0.2436	-0.2720
-1.1650	1.7175	-0.5224	-0.6763	0.4255
-0.3160	-0.6021	1.6439	3.3460	1.2735
0.6529	2.2330	-1.8819	-1.7042	-1.8322
-0.1239	1.7233	0.1778	0.7289	1.9328
0.2447	-0.5599	-1.1127	-0.6126	0.1311
1.6269	1.5180	-0.8090	-1.8409	-0.8460
0.9320	-1.3198	1.6453	1.4730	2.9672
1.8361	-0.8131	1.2647	1.4026	-0.4022
0.9319	-1.2144	1.4196	1.3069	-0.2633
0.1535	0.6768	-2.1461	-1.9738	0.4346
1.5378	2.4222	0.3279	-0.7321	-0.1706
1.3252	-1.3248	2.1892	3.3657	0.5206
-0.8807	-0.8226	-2.8763	-3.5904	-3.4060
0.9660	0.9926	-1.7023	-2.4005	-3.3842
-1.3314	0.4388	-2.7156	-3.6884	-1.9937
-0.0313	1.4010	-4.0575	-8.4446	-6.9056
-0.9540	-0.9710	0.0563	4.4309	4.2158
0.1295	-0.3959	0.0557	-0.0292	-0.5772
0.4784	1.0325	-0.1211	0.1710	-1.7366
1.6673	-1.4949	3.1355	5.7273	3.7307
-0.6735	2.9505	-3.2068	-8.0058	-5.4524
-2.7666	2.7946	-3.3069	-7.5257	-6.3635
0.0338	-0.4158	-0.1254	0.2719	0.8914
-2.4743	-0.2317	-0.5566	0.5090	0.1155
0.6209	1.1179	-0.4197	-1.0088	-0.1451
-0.7885	-0.9837	0.5321	0.8401	1.9893
0.2795	-2.5980	2.8834	3.6257	4.6130
-1.7968	1.1113	-3.1303	-2.7588	-1.2484
-0.1801	0.0306	-1.1247	-2.1292	-3.7431
-2.5522	-1.3918	-1.0773	-2.9413	-2.6501
-1.6019	-1.4648	-0.6872	-1.0663	-0.3465
0.0727	-0.9179	1.7783	2.5614	1.2489
0.2044	1.6234	-0.1845	0.2363	-0.6718
0.1845	-3.1000	2.1028	3.3860	-1.1393
-0.3353	-0.5003	-0.9578	-1.7370	-2.5152
1.8077	-0.0274	0.3479	0.7740	-0.5383
0.9351	-1.6917	1.3531	3.5799	4.2461
0.6926	-0.6611	2.0596	3.2017	0.9894
-2.3775	1.1123	0.4261	-0.7193	-1.7878
-1.5879	1.5710	-1.4809	-3.4690	-1.9479
-1.4471	0.3301	-2.0498	-2.8283	-1.2652
0.3834	1.6619	-0.8727	-1.3502	-1.0408
-1.6069	2.2393	-2.2456	-2.4699	-2.2456
-0.0402	-0.4529	0.1773	-1.0013	1.0770
0.0085	0.2165	0.3885	3.4585	2.3642
-0.6231	-0.7572	1.8366	0.1712	1.5113
2.2887	-1.7780	4.3678	6.1398	4.0099
0.2562	0.3535	0.1652	-0.2859	-1.0342
0.7486	-1.1310	1.4151	1.9015	1.4479
0.9539	-1.2045	2.6710	1.6298	0.5929
-2.9990	0.1678	-2.1520	-4.2307	-4.0416
-0.9892	-0.4567	-1.4866	-1.7551	-0.8882
1.6089	0.8720	0.3883	0.5094	0.0297
-3.2635	0.7260	-2.8596	-4.9522	-4.5326
-3.5289	1.1591	-4.9285	-6.1489	-4.9150
0.4786	1.2475	-0.1655	-0.3293	-1.8310
-0.0744	1.4256	-3.4839	-5.0236	-3.2193
2.2082	-3.2937	1.6179	1.0308	0.5897
-0.0225	0.3241	0.4669	1.8897	-0.8896
-1.4154	-1.8116	0.5637	-0.0446	1.9709
-4.3682	-0.4530	-3.2095	-3.2094	0.9107
-0.1011	1.4070	-0.9507	-2.3800	1.1991
0.2154	0.2594	1.5246	1.7812	3.2847
0.4798	-1.0346	2.7805	2.0172	1.2880
2.6839	0.7740	-0.3832	-0.1544	0.1609
2.2506	-1.0267	1.9193	4.4123	3.7896
-0.0433	0.8666	0.7078	1.2212	0.2555
-1.6717	-2.9586	0.5251	1.0222	0.1100
0.7250	-0.3011	0.9360	1.7549	0.8038
-4.1257	-1.2102	-0.1617	-1.0103	-0.4872
-0.5826	0.3216	-0.6522	0.1698	0.4682
0.2769	2.0170	-1.9287	-2.4091	-2.2428
0.0001	1.7512	-1.5500	-4.2673	-4.0899
1.2279	0.7508	1.3286	1.7931	1.3625
-0.5479	0.1157	1.2655	2.2294	3.7886
-1.9624	0.8437	-1.5614	-2.5231	-1.8158
1.3490	2.8029	0.2274	1.6631	0.7054
0.1708	-3.6642	3.7504	5.4472	6.1672
-1.3255	-0.5272	-1.2194	-2.3435	-2.7480
-1.8781	0.2504	-1.9557	-3.0793	-1.0924
1.2315	0.5724	1.3368	1.0093	3.3276
-3.0220	-3.6096	0.3850	1.5225	1.6767
-1.3378	1.6138	-1.4296	-0.9842	0.9338
-3.1925	1.7160	-3.0720	-5.5413	-2.0812
0.3787	-0.3585	0.1970	-0.1025	-3.2857
-0.9235	0.6563	-1.9380	-3.7029	-1.3939
0.0645	1.0770	-3.6827	-6.4583	-5.3989
3.8076	2.0443	2.3455	3.0919	1.2151
0.3316	1.1582	0.7149	1.4851	-0.3052
-1.5254	-0.3633	1.1553	3.4043	1.9267
-0.5614	-0.0387	1.5626	3.4741	2.8592
-1.1113	-0.4387	-1.0821	-2.2010	-0.4303
0.6162	-2.4421	3.4423	6.1709	4.1934
-0.2172	-2.1351	-0.0758	1.2589	0.2173
1.5674	0.2121	0.5949	-0.9812	1.7793
-1.0892	1.1778	-1.5296	-3.2115	-0.0322
0.4644	1.3978	-0.5948	-1.2457	0.2323
-0.4939	-1.2399	0.0015	-0.3641	0.3273
-0.4287	1.0191	-1.6838	-4.6337	-2.8919
0.1114	-3.2531	4.1631	5.1125	2.4175
2.7525	1.6237	0.7240	1.1345	1.0294
1.1440	0.6402	0.4690	-1.2409	0.4317
1.6420	0.7948	-0.8904	-0.9394	-0.1192
-0.6374	1.0967	-0.9613	-2.4008	-0.8524
1.4491	-1.3033	1.3071	3.9216	2.3896
1.4693	-1.9418	1.4169	0.5716	-0.3680
-1.9757	-1.0858	-1.0814	-0.8401	-0.3755
-0.8277	-0.3176	-0.9498	-0.3733	0.7110
-1.6861	-0.6136	-0.7139	-2.4482	1.0974
-0.5177	-2.0156	0.0324	1.8070	1.7525
1.1868	-0.4177	0.1892	1.3268	3.6741
-1.4842	1.0161	-1.3544	-2.1838	-2.7023
0.5854	0.1792	-3.3373	-5.4463	-4.1201
