X0	X1	X2	X3	X4
0.5406	0.3497	1.4803	-2.1879	-2.9246
-1.4560	-2.7823	-3.0160	6.5254	4.7750
-1.2941	-0.2885	1.6491	0.7047	-1.0142
-2.0946	-3.5424	-0.0981	5.4899	4.3625
-0.1389	-1.1376	0.2999	2.6172	2.5238
-2.4075	0.1675	1.8841	-1.1301	-0.2192
0.1621	1.3392	-1.0636	1.3019	0.0410
1.0739	-1.2989	-1.8244	4.5468	2.2649
-1.1292	-2.9690	2.4028	-2.6928	-2.4702
0.4747	-1.0705	-0.1874	1.0564	1.7160
0.7605	-2.1731	-0.5608	2.1970	1.5529
-0.7120	-3.3601	0.6274	4.4699	4.1542
0.2266	0.2582	-1.4386	-0.2556	0.5916
0.5164	-1.3604	0.2225	1.4247	1.7679
0.5319	0.6742	-1.0201	-0.2646	-1.8250
-2.0559	-1.7309	0.6580	1.2114	0.6958
-0.0495	1.4520	-0.1389	-1.5773	-1.6888
1.1407	0.5111	-0.3714	1.8506	-0.6662
0.5031	-1.8953	0.5439	1.5327	1.8756
1.0541	0.3369	-0.4458	-1.8311	0.1881
2.3331	1.7457	-1.9438	1.7845	-0.8489
-0.2366	1.2352	-1.8510	0.5309	-0.8916
-0.1931	-2.6590	2.4217	0.6284	1.2052
-0.2501	0.9697	1.3421	-4.1744	0.1541
0.4238	-1.4803	0.4701	1.4822	1.1770
0.9730	0.6500	0.4340	1.0691	-0.5566
1.9257	1.4672	-0.9206	-0.5079	1.1286
-1.6275	-2.9320	-0.4875	2.9521	2.1820
0.2679	-1.2778	1.6256	-0.0464	-0.4003
1.9852	1.7269	1.8608	-4.0931	-1.9485
-0.9977	0.1624	0.3043	-1.6776	-1.3410
1.4511	-0.2703	-1.4277	1.7908	1.1803
0.8068	2.3696	-1.0872	-3.2040	-0.4544
1.5158	2.6826	-1.6582	-0.6081	0.3616
0.2319	0.6732	-0.0236	0.1594	0.3924
-0.6828	0.7459	1.3419	-0.8287	0.1025
-1.1227	-2.0172	1.8351	-2.4785	-0.0580
2.9271	3.7619	-1.0820	-2.3275	-1.4081
-0.9078	-1.7836	0.1144	1.0392	-1.0417
0.1257	-2.7574	-2.6118	5.7437	3.2574
0.5378	-0.1892	1.5149	-3.0041	-0.2335
1.3189	-3.1317	-2.7096	6.0313	3.0900
0.8918	3.8424	-1.8040	-1.7518	1.0909
0.5430	-0.0328	0.3037	-0.6185	-0.7638
-0.1149	-2.3980	-0.3396	0.9168	1.7579
-0.7489	-2.3636	0.6626	0.4176	1.9571
0.0261	1.0970	-1.3920	-0.0338	0.7700
-1.4841	-2.1213	0.2117	2.4638	2.2956
0.2099	-0.8270	0.8158	0.9289	-0.5552
-1.3299	-1.7964	2.7975	-3.2664	0.7240
3.3901	4.6331	-1.7573	-3.0315	-2.0782
-1.4081	-0.4541	4.0196	-4.6710	-2.9150
1.3422	0.8228	-1.5336	-0.0703	-0.8958
0.0823	2.3192	-1.1250	-0.5150	-2.2038
