X1	X2	X3	X4
-1.0900	0.7020	-1.0010	0.6305
0.9753	-0.0074	1.0761	-2.3750
-0.0716	1.1252	0.1680	-0.7399
-1.2083	1.9245	-2.0682	0.2759
-0.1174	-0.1847	1.2259	-0.2650
2.2218	-4.8443	3.4895	-0.8565
-0.2089	1.4192	0.3197	1.5023
0.5006	-0.2772	2.0967	-1.9816
-1.2852	0.0731	-0.8476	1.6791
1.8722	-2.4401	4.1977	-4.2063
0.8941	-2.6381	1.4830	-0.0194
0.0120	0.8654	-1.3861	0.7360
-0.2562	0.4400	-1.6554	0.0011
-1.3587	1.8398	-1.8499	1.1080
2.2535	-2.3406	2.1120	-4.1602
1.6085	-2.0604	-0.4677	4.5905
-1.8228	0.9803	-1.6191	-0.2597
-0.5865	2.0967	-0.7598	-1.2009
0.9383	-0.6263	-0.2915	-1.1051
-0.8576	0.6174	-1.0390	3.1661
-1.5083	1.3886	-1.2546	4.3234
-0.5386	1.0624	-0.1146	1.5156
-0.7423	1.8258	0.8727	-0.4086
1.3512	-1.4684	0.8017	-0.8902
-1.5792	0.8155	-2.2616	1.7818
-1.8223	0.8485	-1.0058	-0.2161
0.2293	-1.0893	1.7045	-1.6349
0.3030	-0.8952	-1.9097	1.2845
2.5463	-3.6556	2.8598	-3.7812
0.4202	-0.4327	-1.1161	0.5072
0.7027	0.7484	-0.7606	2.6566
1.0784	-1.5652	-0.6119	0.8388
1.6851	-0.9671	2.2597	-2.4144
-2.1494	0.5791	1.5277	-2.2873
-1.4420	-0.0181	2.2233	-3.0601
0.9623	-2.3638	3.3956	-1.1979
-1.1958	1.5628	-2.0653	3.9522
-2.0945	2.7584	-2.4518	3.4959
2.4230	-3.8863	2.2600	0.0676
-3.1434	3.1654	-3.6987	2.6862
1.1528	-1.3366	1.7751	-0.9773
0.5044	-0.5288	-0.1883	4.7662
0.1268	0.3990	-1.8133	-3.0767
0.7961	1.0280	-1.6378	1.7308
0.1113	-0.5718	1.8345	-1.2475
-2.9021	1.8964	-1.6401	2.5649
0.2253	-0.8614	-0.8772	-0.6159
2.4881	-3.2648	0.9078	-3.6011
-2.2131	2.5043	-1.1844	1.8573
-2.5469	4.3247	-2.9273	3.6801
-0.3303	0.2663	-1.4422	1.6375
0.1301	-1.0919	-0.1882	1.2558
0.5932	-0.3746	0.4301	1.3789
-0.4480	0.7237	-0.1688	-3.2781
1.1805	-1.6336	-1.1342	0.1449
-5.7348	8.9318	-4.7774	3.2962
0.9855	-0.4985	0.3980	0.3797
2.6338	-3.3890	1.2142	-0.9318
1.7410	-1.0574	1.3531	-0.3637
0.5888	0.9060	-3.1398	1.3542
-0.7004	0.8317	0.1258	1.7372
-0.8239	1.3903	-1.8308	2.5732
-2.8089	4.0356	-4.0486	4.4886
-2.6094	4.1331	-3.1082	4.2127
-3.5301	3.7922	-1.2244	-0.0760
2.3613	-1.9740	3.3404	-2.5997
-5.2289	6.0495	-5.4062	2.8838
2.0040	-2.1515	3.5530	-1.3269
0.6377	-0.5926	1.3743	-2.2304
0.2704	-2.2372	1.4017	-2.4200
2.2817	-3.3915	2.4688	0.6209
-0.3039	1.7541	0.2298	-2.2415
-2.6792	3.8673	-2.6817	1.2021
0.0252	1.0187	0.0540	1.8806
-1.0506	1.4432	0.2670	-1.6632
-0.9783	1.7853	-0.8810	0.0840
2.9202	-6.2215	5.0290	-4.7955
0.4967	0.1130	-1.4306	4.5718
-2.9547	5.0248	-3.8556	1.2752
0.0265	0.0224	-1.6073	-0.6677
-0.7528	3.2199	-2.1427	4.6341
0.1364	-0.3022	0.2002	-1.1353
-1.1327	1.1132	-0.1359	1.7400
-2.1907	5.6550	-4.3916	4.8390
-0.7128	-1.0623	0.6621	-0.2906
-0.3692	1.4041	-3.3047	0.1088
-2.2932	3.8821	-2.6718	1.0170
-1.8851	0.2791	-1.4475	3.7933
1.5718	-0.9038	0.9818	-0.3332
-1.0513	0.1418	0.1523	0.8604
-0.6382	-0.6193	1.3287	-3.1650
-1.4796	2.0304	-0.0091	-1.1158
-3.2332	5.1954	-5.1936	5.6137
1.3012	-1.0980	1.3970	-0.0947
0.0229	0.9881	-1.1116	1.9801
2.3690	-1.1990	0.2022	0.2596
0.9074	-2.0274	3.9905	-4.5246
-0.6015	0.4815	0.1291	0.3774
1.2448	-1.7587	1.4784	-2.1623
-2.1992	2.3278	-0.4120	1.4942
1.1530	-2.2928	2.4347	-0.9512
-0.6984	1.3583	-0.7819	1.9138
-1.4287	4.0516	-1.8757	1.1006
-1.4580	4.0475	-1.9301	2.0246
-1.0540	0.6494	-2.1668	0.5312
0.8221	-3.0685	1.6854	-0.2097
1.6921	-0.7993	-1.4755	-1.4381
-1.9909	2.3811	-2.7287	-0.7869
2.0726	-2.7053	1.7090	-4.0177
-2.6480	4.3123	-2.8561	-0.1372
0.5074	-0.5903	2.2619	0.3193
1.6545	-3.5199	0.2476	-0.4944
-1.0355	0.8410	-2.1648	-1.2698
2.5394	-3.4784	-0.1098	0.2000
3.5382	-6.6119	4.9756	-4.6727
3.7158	-6.2100	4.0908	-4.3217
0.3725	-0.3199	-1.8884	1.3470
-1.2840	0.5753	-0.0107	0.0809
-1.2358	3.2912	-1.5626	2.0321
0.2544	-0.5628	1.6012	1.6727
1.3222	0.3004	-0.4623	0.9082
-3.4456	2.9455	-4.8205	2.9581
