X1	X2	X3	X4
0.4221	0.4384	-1.3173	2.9460
0.9492	1.4172	3.0107	-2.5591
-1.2589	-2.9390	-4.0365	3.1387
-0.1838	-0.0869	0.3865	1.0364
-0.0153	-0.7454	2.1462	-1.6822
-0.3087	-0.3780	-2.5973	3.2732
1.4135	2.1229	2.2045	-1.9622
-0.3369	0.0961	-4.3773	3.5781
1.3726	0.4430	3.3575	-3.1190
-0.5519	0.4889	-1.0742	1.0067
-0.3702	0.8806	-0.4347	1.6218
0.1613	-0.3125	-1.9745	1.4639
-1.9433	-2.0454	-5.5510	4.9709
-0.2373	-0.0943	-1.8291	3.3212
0.0960	-0.4582	0.2090	-1.6387
1.5737	1.9769	1.3347	0.4191
-0.6177	0.4303	-3.8961	4.5672
-0.5416	-0.0257	-1.5083	2.2654
1.3120	0.8179	0.5658	1.3635
-2.7114	-3.6563	-6.6238	5.2493
2.2458	1.7482	0.7674	-0.8067
0.1383	-0.0902	1.4498	-2.6829
1.0011	3.1140	2.4010	1.7335
-0.5098	0.1656	-4.7299	3.8269
-1.2512	-2.4365	-3.6005	2.0945
1.2103	2.2939	1.8404	-0.4667
1.3678	1.0705	2.3198	0.6191
0.8519	0.9737	2.8179	-3.0818
-0.6895	-1.5446	0.7317	-0.9051
1.7776	3.2422	3.7977	-2.0273
-1.7405	1.9001	-4.4139	4.0717
1.1029	0.1807	-0.0358	1.7188
1.7817	0.2406	2.0504	-3.2231
-0.7134	-0.8464	-2.6561	4.0011
1.2413	1.9334	2.4221	1.2244
0.2386	0.6823	-1.1959	0.1787
-0.9218	-1.8805	-2.2121	1.8575
0.0085	0.1856	1.2902	0.6128
0.8860	2.3912	1.8825	-2.2596
-1.3470	-2.6017	-3.3230	1.4958
-2.3501	-0.2527	-4.6446	5.4920
1.2622	1.1215	0.8703	-0.5787
-0.3280	0.7944	-3.2052	2.7608
-0.9986	-0.8495	-0.5365	-1.3153
-1.8836	-2.3289	0.6953	-1.3516
0.7963	0.1409	1.0663	-1.5361
1.8679	1.8098	4.5032	-2.7037
-0.8342	-1.9214	0.1954	-1.7231
-0.6599	0.0298	-2.0961	2.3547
0.5265	-1.0956	0.6819	-0.8633
0.7403	1.5281	6.2942	-5.4374
2.0280	2.1030	3.2321	-1.7957
-0.5464	-0.2012	-1.3611	2.4479
-1.7944	-1.5835	-4.2611	3.7582
1.5155	3.0680	5.4686	-5.0525
0.1578	-0.5712	-3.5115	2.6895
0.0269	-0.8508	-0.2057	1.7648
0.0609	-1.1035	-1.1678	-0.0698
0.4430	1.2429	0.0761	0.4405
-0.5597	-1.8779	-1.6392	0.5823
-0.7618	-1.1871	-1.9504	1.9863
-2.2828	-3.4836	-3.4350	4.0602
2.6874	1.8042	4.3237	-2.9310
-1.4835	-3.0038	-2.8087	-1.3042
1.0511	2.0064	-0.6945	-0.3868
-0.9530	-0.4949	-1.8805	0.9986
3.2304	4.4726	6.7548	-4.6933
-1.4659	-1.2924	-1.3397	-0.1724
-0.0827	-0.7607	-0.9415	0.3493
0.0107	-2.3775	0.3953	-3.5036
0.4328	-0.7803	1.4881	-2.8410
-0.0568	-0.7892	-2.0522	1.9636
-0.4649	0.6341	2.1337	-1.9094
-0.5447	1.1631	-1.8098	3.7922
-0.5412	-1.1206	-0.4193	-1.1130
2.1935	0.9406	2.4002	-1.6031
-0.2036	-1.8214	0.3701	-0.7954
-0.1302	0.9376	-1.1375	-1.0442
-0.8151	-2.0489	-3.1127	3.4073
2.1216	2.9254	1.1789	0.9501
-0.8000	-1.8094	-3.0985	2.1389
-0.1136	0.2079	0.5581	0.0166
-1.5750	-0.8081	-4.5014	5.6083
-1.1694	-0.8229	-0.9731	-1.3999
-0.5363	-0.7507	-2.2879	3.4020
0.0659	2.6693	-2.5252	0.6839
1.2743	0.9704	2.8380	-5.8945
0.3143	-1.4013	-1.1832	2.2993
2.4719	1.0353	3.8212	-4.7810
1.7280	3.1156	1.6403	1.8628
0.3809	-2.4305	-0.4238	-0.4240
-0.2335	-1.1428	-0.2635	-0.8604
0.3108	-0.8257	-1.2976	0.6161
-0.0816	0.0180	-1.2420	2.1012
0.2342	1.0406	0.0705	-0.5182
2.1600	3.5885	3.1074	-2.4208
-1.3978	0.4984	-4.2853	3.8048
0.5205	1.5099	1.2366	-1.1065
1.8619	1.5031	0.5421	-1.1230
1.0042	1.3626	1.1262	-0.3403
0.0533	3.5121	0.6921	1.0873
-1.0375	-2.4498	-4.8993	5.2073
1.7036	0.9064	1.8648	-3.1294
0.9415	1.3896	2.3639	-0.8299
1.6802	2.7376	6.4177	-2.9759
-1.0406	-1.1874	-2.3030	2.8096
-0.0602	1.8655	0.7256	1.4306
0.6997	-1.5696	-0.6425	0.8768
-0.8232	-0.5662	0.4193	0.3471
1.0750	1.2896	0.4809	0.3900
-0.2770	0.2853	-3.1160	2.9963
0.8744	-1.3777	1.1802	0.8666
0.3229	-2.0220	-0.7336	0.8150
0.3791	-0.5399	1.9064	0.3788
1.9950	3.8203	0.2543	1.4392
-0.7438	1.1652	0.0391	-0.6343
-0.3964	-2.0365	-0.8261	-2.4984
0.4931	2.1455	0.2163	1.7033
-0.8151	-1.2609	-1.6957	1.9154
0.5680	-1.2519	-1.9496	1.6687
1.5940	2.6880	0.5001	1.8136
-0.1798	-0.6030	-1.2748	-0.0474
-1.1356	-1.9288	-1.0715	1.7402
-0.3189	-1.7417	-3.0155	2.2012
0.9236	-0.2126	1.1129	-2.1075
1.5860	2.2490	0.9156	0.6870
-0.5742	1.2993	-0.5665	0.7481
1.3007	1.5296	2.4215	-0.1881
-1.8416	-1.2974	-2.1990	1.9805
-0.8418	-0.8481	1.7427	-1.4174
0.8017	-0.4446	1.7721	-0.8251
-1.3454	-2.2427	-0.8648	0.3529
1.2588	1.1594	1.0904	0.9119
-1.3497	-1.3655	-2.8564	2.3510
2.3817	2.8072	4.0609	-3.0936
1.3820	1.6532	2.9098	-1.2292
1.4827	3.0207	2.7008	-2.3162
1.4449	-1.5429	3.9433	-2.9984
-1.6225	-1.3788	-1.1630	0.5102
0.7046	0.6381	2.1051	-3.0108
1.3322	0.1194	2.0138	-1.7477
-1.4934	1.5691	-3.7732	4.5560
-1.4324	-2.0244	-2.4805	1.4298
1.2891	0.5035	4.1002	-6.2902
0.2724	0.0563	0.8724	-0.5333
-0.1669	-1.0851	-0.9390	-0.8744
0.8352	1.7432	0.3819	0.8269
0.2182	-2.0789	0.2213	-1.5635
1.2184	1.5160	1.3717	0.5089
0.2872	2.1123	2.0826	0.2479
0.7521	-0.4908	2.7687	-1.7748
1.0511	1.8088	-0.2405	-1.3373
-0.6982	-2.3512	-0.8518	-0.1299
-1.8685	-1.2945	-6.1929	5.9108
2.0928	2.5377	5.2196	-5.9488
2.0260	1.6135	1.3948	-0.6602
-1.6393	-2.6317	-4.9696	0.9858
-2.6279	-2.6216	-5.4898	2.6160
0.1795	1.5979	-0.8810	4.4242
0.0662	0.8502	-1.3737	1.4543
1.1938	0.7956	-1.3887	0.1524
1.9644	1.2960	2.7610	-2.0831
-0.7438	-1.7077	-0.8291	-1.0895
-0.4597	-2.1041	-2.1065	0.7512
1.3718	3.2860	5.0568	-3.5782
-3.2924	-2.9738	-9.2873	6.8004
0.3266	-0.0157	-2.6747	3.1481
-1.1471	0.8667	-0.4318	2.8683
-0.5594	-1.0770	-2.6702	3.5538
-1.1435	0.8109	-3.0400	3.0015
0.5848	-0.3361	-0.6288	2.5193
0.6064	0.2134	3.8596	-2.6834
-0.4914	-2.7708	-0.6787	-0.6707
2.1360	2.9496	5.5263	-4.4301
1.1309	-0.7875	1.8785	-0.7299
-0.9808	0.8936	-0.9309	1.1030
0.0944	-0.1684	-0.1508	-0.9904
-1.0203	-1.3748	0.8601	0.8602
1.6617	0.5431	1.6265	-0.8985
-0.4051	1.9592	2.1060	-0.6222
-2.5894	-4.1678	-2.8560	1.0738
0.3031	1.8596	1.7285	-2.8316
0.9035	1.3588	0.9366	-0.7800
2.1394	2.3134	3.4171	-1.3870
0.5316	-0.8055	0.2680	-0.7528
2.3502	3.5247	4.6712	-0.9047
-1.8994	-0.8916	-2.9110	3.2466
0.5426	-0.7229	0.3876	-0.7971
-0.3920	0.3660	-2.2785	3.1365
1.0449	0.9205	3.7890	-0.2354
2.0753	1.1596	3.9070	-2.4280
0.3357	-0.5130	-1.0780	-0.4683
-0.5928	0.0881	-0.1836	-0.9254
-1.2659	-0.9978	-1.0359	0.3054
1.1711	0.7434	4.0947	-3.5762
-0.3725	-0.1824	1.6879	-2.0108
-0.3386	-0.0924	-1.7751	-0.0003
-1.3178	-3.8849	-5.4367	4.2559
0.5460	-0.0285	1.9712	-1.9296
-1.4471	0.9032	-1.6257	2.2724
2.3111	2.3026	6.5581	-7.5970
-1.7932	-2.0270	-5.5022	6.7413
-2.9694	-4.1483	-6.1015	3.0931
-0.6716	0.3793	1.3510	-0.5138
1.5549	2.0291	2.8580	-0.3100
-0.3361	-1.0339	-0.0237	1.5034
-1.0818	-1.9339	-0.0445	0.5863
-0.8095	2.1480	1.9382	1.8058
-0.7383	1.1371	1.5550	-0.7095
-2.3481	-3.7457	-5.2956	0.0905
-0.7928	-0.0381	0.6234	-1.0773
0.2111	1.4635	0.9228	0.4841
2.1464	4.2999	4.3042	-2.4572
0.5996	-0.5279	3.2525	-3.3798
