X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
2.0645	3.0616	2.5457	-0.3136	3.2891	1.4626	0.4095	-1.2057	-2.4059	-0.0058
-1.0270	-1.5904	-2.0336	0.0628	-0.4993	-1.8670	-1.9215	0.2336	1.7187	-0.2166
-1.3813	-2.7287	0.5111	-0.7064	0.4428	-1.5305	-0.6439	-1.0654	0.8817	-1.0215
2.1929	4.3262	1.2655	0.4267	-0.8955	-1.3472	1.8077	0.7163	2.8006	-0.2347
-2.8015	-4.3389	0.9076	0.5827	-1.8111	-0.4841	-1.1632	-0.6686	-1.3616	0.8994
-2.0502	-4.5583	-2.4778	1.9007	0.0240	-1.6164	0.0609	0.0755	-1.2873	0.8113
2.7137	5.3966	-0.9405	-1.1512	1.2329	0.3624	0.2859	-2.0036	1.1222	0.8418
2.2616	2.5245	0.7495	-0.2822	3.1003	0.2674	-0.6890	1.5568	-2.9071	-1.1149
-2.4006	-3.3109	-1.9183	-1.1559	1.7434	-1.0214	-0.5784	0.2158	-0.9638	-0.4373
1.0407	0.3771	-0.2790	1.5282	0.3790	-0.0257	-0.4271	-1.6690	-1.9068	1.2910
-1.1430	-0.3604	-1.3321	0.5179	-1.2354	-4.0498	0.4783	-1.7444	-1.8694	3.1203
0.8900	2.3120	1.3578	1.2228	-0.2868	-2.4152	-1.5289	1.3486	0.0830	-0.9173
-0.0209	0.9972	0.6889	0.4686	1.0567	-0.6328	0.8231	0.9233	-1.9633	1.5516
-1.8122	-3.3064	-1.3906	-0.5774	-1.0846	1.1192	0.5369	-1.8996	-1.4872	0.4810
-1.1842	-2.4107	2.9324	-0.1879	1.6513	-2.0001	1.2193	0.4434	-0.0182	-0.1780
0.5692	0.8373	-1.3614	-0.2698	1.9488	-2.3188	0.9352	1.4607	-2.7626	-0.5186
-0.5242	-0.8804	-1.1429	1.2229	-0.8835	-0.9147	0.4921	0.5382	-0.6292	-0.4994
2.8658	3.4704	0.1202	-1.8543	1.0516	-0.1466	0.1466	-0.4804	-1.0074	-0.1504
0.7665	1.7503	1.9974	0.7084	-1.3968	-0.2430	-1.3096	-0.9424	2.1191	0.3242
-2.3323	-3.0657	-0.8447	0.8708	-1.4473	2.4069	1.6168	-0.3606	-1.4712	-1.2385
0.8478	1.9342	-1.6595	0.5226	-2.6582	1.7531	0.4858	0.9777	2.6831	-0.0316
0.1453	0.6762	-0.8588	-1.7784	-1.3208	0.8914	0.3054	-1.4656	1.5071	-1.3206
-3.2597	-3.5063	-3.2274	-2.0662	-0.0563	0.9073	0.8566	0.0286	-0.1569	-2.3576
1.2876	-0.3804	-0.0480	-1.5384	1.1266	-0.5529	-0.3455	0.6077	-2.5702	-0.8237
0.2121	-0.2678	0.7288	-0.5621	0.5761	3.0699	0.4251	-0.8903	1.4766	0.9721
-2.2373	-3.7432	-0.2582	-2.0577	-1.6054	-3.1457	0.1132	1.2768	1.2840	0.2289
-1.9694	-2.4273	2.1058	-0.4778	1.1798	1.0297	0.3668	0.5147	-1.8238	0.3461
1.6946	2.0678	-0.6376	-1.9753	-2.1986	-2.8168	-0.0002	-0.8586	2.6906	0.0543
-1.5266	-1.6386	0.6487	0.5997	4.4667	1.2154	-0.2501	-0.9198	-1.6473	-0.8664
1.6995	0.6551	-3.0258	0.0717	-0.2115	1.8768	-0.4793	0.7385	-1.1917	-0.0581
-0.9681	-0.7400	-0.1250	-0.8720	1.5590	-0.8471	1.5426	-0.1748	-2.6720	-1.1487
-0.1312	-0.2743	0.8898	-0.9541	-3.1140	1.5046	0.8785	-0.8652	2.4059	0.4035
-1.9142	-2.2845	2.6639	-1.0494	1.7339	1.6114	-0.8446	0.3402	-0.5084	0.4045
1.1216	1.9020	-1.4841	0.2171	-0.4466	-2.2712	0.4031	-0.4575	1.7370	0.9974
-0.3803	0.9133	-0.2050	-0.4222	0.1959	-0.5867	-1.2003	-0.5898	0.2214	0.8578
2.8939	3.0136	0.6060	0.0560	-0.6463	-0.2991	-0.8877	1.1844	-1.9842	2.6245
1.8267	4.0873	-1.1027	0.8797	1.0950	-2.0365	-1.4073	-0.5481	0.9789	1.2181
-1.7674	-2.1959	-1.1642	-1.3055	-1.0070	-2.0612	-0.0278	-1.7498	2.2781	2.5907
0.0525	1.2160	1.6089	1.9396	1.2075	0.7584	-0.4985	0.4792	-0.4819	0.7920
1.0975	-0.6346	-0.0704	-0.5643	0.5232	1.2381	-0.2717	0.6516	1.0775	0.1530
0.8765	2.7718	2.5956	-1.0346	-1.1221	0.0904	-1.3589	-0.9971	-2.3557	-0.8056
-3.9141	-5.9234	-0.6098	1.1672	-1.4393	-0.4930	0.0517	1.2236	0.2218	0.5013
0.6999	0.7015	-1.1909	-0.0492	1.6248	0.6562	0.2184	-0.1605	-3.1880	1.2446
-0.3632	-1.8299	-1.8301	-0.4525	2.5442	-2.2491	0.1310	0.4982	-2.6291	-0.5714
0.9181	0.8852	1.2751	1.4280	2.0756	0.8787	1.0188	0.5336	-3.3101	-2.2549
0.9378	1.8504	-0.6908	-0.4278	4.4066	3.9749	0.5579	-1.1983	1.3788	-1.1858
0.3484	1.4025	0.0354	0.5408	-1.5651	0.3391	-1.6282	-1.3448	0.4192	0.8005
-0.1327	2.2655	-1.4263	-0.7122	0.4871	-1.2531	-0.8889	-1.0554	0.6987	-0.5155
1.9337	3.3051	0.9044	-0.3627	0.2773	-1.4836	-1.7658	0.6111	-0.1206	-0.8719
1.6856	1.7870	-1.8120	-0.8573	0.1224	1.9171	-1.5728	-0.0081	-1.2663	1.1915
2.2152	3.4541	1.4357	-2.1593	1.7847	-1.7106	0.1764	-1.0102	3.6636	0.1619
-0.6422	-1.9254	-0.7027	-1.7870	0.8453	1.3559	-0.4705	-0.6804	2.5262	0.3594
0.5203	1.7856	-1.2796	-0.4428	0.2738	1.9885	-0.1789	0.3913	3.4642	-0.6960
-1.1472	-0.7791	-0.7647	-0.6060	0.4391	2.4243	-0.5165	-1.0390	-0.2377	1.4417
-0.7015	-0.5104	0.1051	-0.0118	-1.0531	0.9633	1.5311	-0.9041	-1.0273	1.4595
-0.2591	0.2660	-1.5335	1.3438	0.2381	-0.5365	0.5223	0.3876	0.0851	2.3837
-0.9532	-1.6204	-0.8853	-0.2305	1.3101	0.9372	-0.2144	-0.7538	0.5604	-1.2920
1.2930	2.2777	0.9339	-1.7779	-0.3418	-2.2793	-2.4240	0.7698	-2.3326	-0.9101
-0.6219	-3.3627	-0.7115	1.4829	-2.6051	2.4207	1.0863	-0.6678	0.0411	0.0640
1.0511	2.2438	1.2097	0.9350	0.8282	-1.7172	0.2365	0.7099	0.5394	1.0999
3.1553	5.2133	-1.7424	1.3759	2.0994	1.9862	-0.0133	-0.1292	1.8149	0.1877
-2.5138	-4.0064	0.3964	1.6324	-0.9455	0.4052	0.8825	1.0693	-1.1877	0.3689
-0.8229	-1.9358	-0.0991	1.2927	-2.3604	0.5435	0.7262	-0.2950	-0.6579	-1.3269
-0.3573	-1.8973	0.9732	1.4207	-1.9502	1.5131	0.8008	-1.6088	0.9199	1.2298
-2.6184	-3.5607	-1.4689	-1.9040	1.4432	1.6947	0.1476	-1.7725	-0.4105	-1.0751
-1.0054	-4.0785	-1.6462	-0.4410	0.5961	2.9240	0.6421	-1.7410	0.1030	-0.4722
0.6176	0.8012	-0.3263	0.6029	0.4628	0.8257	-0.7986	-1.0687	1.0179	-1.1198
0.5018	0.3605	-1.2582	0.3148	-1.0419	2.9038	1.2344	0.7879	0.5145	0.0102
0.9709	0.1496	-0.4345	0.5875	0.9729	-1.5843	0.2789	0.8621	-1.9006	-0.1939
1.8882	2.8787	-1.7850	-1.2078	-2.2910	-1.3178	-1.5751	-0.9773	-0.8804	-1.1046
1.0731	2.0269	-1.0955	-0.2072	0.1615	1.7545	-0.6246	-0.7247	1.4426	-1.8772
-0.5287	-0.3949	0.3143	-0.1544	1.5269	-1.0377	0.6824	0.8270	0.2087	0.0340
0.2888	0.2157	-0.4773	-1.2600	-0.2245	1.4344	0.7825	0.6813	-0.8660	1.2936
-2.0452	-3.5651	-0.1519	0.7637	-0.9563	-1.3146	0.3975	-0.7947	-1.8216	0.8768
1.3256	3.3710	1.6902	-3.0847	-2.2819	-1.7166	-0.9732	0.5255	2.4864	0.5167
-0.7662	-1.9068	-0.2009	-1.6270	1.5253	-0.5273	-0.2693	0.0234	0.8082	-0.2909
0.2024	1.5051	-0.6812	1.6717	2.3789	1.8253	1.4789	1.2070	-2.1697	-0.9185
-1.7505	-3.5466	-0.6333	0.2054	-1.1682	1.1201	-0.4143	-1.1802	0.3424	2.0717
1.7021	3.1720	1.1089	-1.3088	2.6555	-0.0877	0.4932	0.3297	-1.2318	-2.6518
-0.0059	-0.0122	-0.5344	-2.0104	2.6627	-0.0823	0.2672	0.2232	-1.9217	-0.7896
-2.6106	-3.4063	0.7324	0.8685	-1.0346	0.2790	0.2211	-0.7066	0.2616	0.3503
4.1113	7.7590	-0.6808	-1.7639	-0.2687	0.1917	-0.0421	1.4501	3.1755	-1.5818
0.4880	-0.8526	2.6767	-0.2096	-0.9161	0.1235	-0.1723	-1.4665	0.2253	-0.9259
0.7822	0.3035	-0.8787	-0.9637	1.8413	-0.8824	0.6250	0.2227	0.5199	1.3319
0.5502	-1.3045	0.3860	1.0073	1.6739	-0.7308	0.6767	1.3159	2.3894	-1.5764
1.4291	4.0461	1.6214	0.9043	1.2893	-1.5415	1.8339	3.0985	-2.3170	0.5404
1.7183	4.0060	2.4351	-0.3706	2.7858	-0.6355	0.1074	-1.1020	2.3119	1.2495
-0.3353	-0.0577	-0.9178	0.6729	2.6975	0.4433	-0.3523	0.6496	1.3499	-0.4529
-3.5179	-5.6339	1.2612	1.4369	0.9031	0.7286	0.0014	-0.5477	-0.7813	0.1965
0.5204	-0.7898	0.5505	-0.1663	0.0951	1.3349	0.1103	-1.0559	1.0218	-1.0432
-0.0388	-0.0042	0.0358	0.7622	-1.7169	0.4235	2.7329	1.1484	-1.6028	-2.3283
-3.0695	-4.2354	0.0125	1.3362	-0.6069	-0.1203	-0.5853	-1.1442	-1.3991	0.0362
-0.7165	-0.1712	-0.7619	0.3333	4.0969	-1.4223	1.2803	-0.1564	0.2371	0.1599
0.2946	-0.5049	-2.5513	-0.3376	-0.8096	-0.1943	-0.6116	-1.3849	0.6629	-1.4986
-0.8975	-2.6180	-0.4363	-0.1202	0.0284	2.3334	0.2712	-1.2876	-2.1075	0.6636
-1.3538	-0.8231	1.4433	1.1163	0.7888	0.7690	0.1857	-0.2921	0.6973	-0.5983
2.1948	4.8822	0.3326	1.4270	1.4133	-2.7943	-3.2843	1.1668	-2.2272	2.4210
0.3375	1.3850	-2.3980	-0.7753	-1.6371	3.1157	-0.3091	0.5449	4.5687	-2.6665
-0.8831	-3.9462	1.7925	-1.3423	3.6809	-0.3398	0.8083	0.4078	0.1190	-2.1465
-1.3042	-2.1054	-1.8753	1.0254	0.0152	-0.4570	-0.0839	0.1135	0.0308	1.6234
3.1492	4.5301	-0.1959	0.4687	-1.6196	-0.3181	-0.6089	0.3151	-0.7163	2.2440
-1.4372	-1.3324	2.8311	0.8818	0.7916	-0.3412	0.3265	-1.1917	-3.7651	-2.7874
-3.1463	-5.2464	-1.5956	-0.1234	-1.0642	-2.2279	-0.4867	-0.2374	1.9018	0.1884
-0.3968	0.7210	1.1635	0.5413	-0.9257	0.9097	0.6226	0.4202	-1.5322	-1.2782
-2.7397	-4.6453	1.4011	0.6392	2.6060	1.2989	1.3139	-0.9633	0.6296	0.2691
1.8033	2.5535	1.4417	0.4499	-1.5979	-3.2100	0.4862	0.3374	-0.9519	0.2391
0.6761	1.0550	-0.2583	-0.4022	1.3973	1.1316	1.7980	-1.3985	-0.1775	0.6357
